State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore,ACT,Enrollment,FBI.TotalCrime,FBI.CrimeRate,Application.Deadline
NY,80,Skidmore College,Saratoga Springs,12866,www.skidmore.edu/,43.092696,-73.785108,0.3734,Private nonprofit,Suburb,1241,60900,0,1,0,1,1,0,1,1,1,1,1,1,45000,381.8,26,52.54,28,2612,1210,4.38,15-Jan-19
ID,81,Brigham Young University-Idaho,Rexburg,83460-1690,www.byui.edu,43.815384,-111.784728,0.9962,Private nonprofit,Town,1041,11139,1,1,0,2,1,1,1,1,1,1,2,1,39900,212.2,6,60.93,23,23865,386,1.4,1-Feb-19
CA,82,Santa Clara University,Santa Clara,95053,www.scu.edu,37.352706,-121.938189,0.4935,Private nonprofit,City,1309,59020,0,1,0,1,0,1,1,1,1,1,1,1,68400,396.1,10,59.96,30,5447,7470,6.05,7-Jan-19
CA,83,California Institute of Technology,Pasadena,91125,www.caltech.edu,34.139275,-118.12574,0.0883,Private nonprofit,City,1545,58755,0,0,0,1,0,1,1,1,0,1,1,1,80500,396.1,10,59.96,35,983,237318,5.99,3-Jan-19
MI,84,Kalamazoo College,Kalamazoo,49006-3295,www.kzoo.edu,42.290382,-85.601317,0.6965,Private nonprofit,City,1239,50800,0,0,0,1,0,0,1,1,1,1,1,1,43500,427.3,43,44.17,28,1431,7094,9.29,15-Jan-19
IN,85,DePauw University,Greencastle,46135-1772,www.depauw.edu,39.63953,-86.863556,0.566,Private nonprofit,Town,1213,53410,0,1,0,1,1,0,1,1,1,1,0,1,51900,365.3,40,45.94,27,2185,105002,12.16,1-Feb-19
NY,86,Cooper Union for the Advancement of Science and Art,New York,10003-7120,www.cooper.edu,40.72938,-73.990516,0.1506,Private nonprofit,City,1388,57429,0,0,1,0,0,1,0,0,0,0,0,0,53600,381.8,26,52.54,32,852,359896,4.21,1-Jan-19
TX,87,The University of Texas at Austin,Austin,78712,www.utexas.edu,30.286598,-97.73924,0.3966,Public,City,1296,25918,0,0,1,1,0,1,1,1,1,1,1,1,60400,405.9,29,52.23,29,38914,77792,8.29,1-Dec-18
TN,88,Sewanee-The University of the South,Sewanee,37383-1000,www.sewanee.edu,35.20443,-85.917772,0.647,Private nonprofit,Rural,NULL,47970,0,1,0,1,0,0,1,1,1,1,0,1,42000,608.4,45,39.96,NULL,1616,74,6.32,1-Feb-19
GA,89,University of Georgia,Athens,30602,www.uga.edu,33.956428,-83.374049,0.5572,Public,City,1248,21981,1,1,1,1,1,1,1,1,1,1,1,1,48500,377.3,37,47.43,28,26738,9517,7.87,15-Jan-19
TN,90,Rhodes College,Memphis,38112-1690,www.rhodes.edu,35.154424,-89.989187,0.5999,Private nonprofit,City,1296,52958,0,1,0,1,0,0,1,1,1,1,1,1,50000,608.4,45,39.96,29,2007,96992,14.74,15-Jan-19
OH,91,Denison University,Granville,43023-0713,www.denison.edu,40.072582,-82.520625,0.5553,Private nonprofit,Suburb,NULL,56520,0,1,0,1,1,0,1,1,1,1,0,1,47100,284.9,39,46.04,NULL,2265,75968,8.96,15-Jan-19
CA,92,Occidental College,Los Angeles,90041-3392,www.oxy.edu,34.126224,-118.210783,0.4204,Private nonprofit,City,1300,63363,0,1,0,1,0,0,1,1,1,1,0,1,44700,396.1,10,59.96,29,2023,237318,5.99,10-Jan-19
KY,93,Centre College,Danville,40422-1394,www.centre.edu,37.645102,-84.779175,0.7157,Private nonprofit,Town,1263,47897,0,1,0,1,1,0,1,1,1,1,0,1,41000,211.6,49,35.08,29,1379,700,4.19,15-Jan-19
